v_mps,a_deg,b_m,chi,mu,U_max,step_of_Umax,contact_len_s,max_overlap_m,UW_max
0.9,-30.0,0.0,4.0,0.47,0.2112501076777061,113400.0,0.00045,6.274120169544664e-05,0.5887927453517876
0.9,-26.0,0.0,4.0,0.47,0.2218221794253523,113400.0,0.00045,6.476857924219218e-05,0.6115792939989921
0.9,-22.0,0.0,4.0,0.47,0.2314405008835511,113400.0,0.00045,6.660567179743448e-05,0.632185758361367
0.9,-18.0,0.0,4.0,0.47,0.239860989570035,113400.0,0.0004599999999999,6.803765172778975e-05,0.6501331279030098
0.9,-14.0,0.0,4.0,0.47,0.2468670621278618,113400.0,0.0004599999999999,6.939685342947227e-05,0.6650078526303537
0.9,-10.0,0.0,4.0,0.47,0.252283326628801,113400.0,0.0004599999999999,7.024708192959403e-05,0.6764647680341817
0.9,-6.0,0.0,4.0,0.47,0.2559689410761158,113400.0,0.0004599999999999,7.096480667182284e-05,0.6842437732902339
0.9,-2.0,0.0,4.0,0.47,0.2578363275441128,113400.0,0.0004599999999999,7.13580191387328e-05,0.6881775720317279
0.9,2.0,0.0,4.0,0.47,0.2578363275441128,113400.0,0.0004599999999999,7.13580191387328e-05,0.6881775720317279
0.9,6.0,0.0,4.0,0.47,0.2559689410761158,113400.0,0.0004599999999999,7.096480667182284e-05,0.6842437732902339
0.9,10.0,0.0,4.0,0.47,0.252283326628801,113400.0,0.0004599999999999,7.024708192959403e-05,0.6764647680341817
0.9,14.0,0.0,4.0,0.47,0.2468670621278618,113400.0,0.0004599999999999,6.939685342947227e-05,0.6650078526303537
0.9,18.0,0.0,4.0,0.47,0.239860989570035,113400.0,0.0004599999999999,6.803765172778975e-05,0.6501331279030098
0.9,22.0,0.0,4.0,0.47,0.2314405008835511,113400.0,0.00045,6.660567179743448e-05,0.632185758361367
0.9,26.0,0.0,4.0,0.47,0.2218221794253523,113400.0,0.00045,6.476857924219218e-05,0.6115792939989921
0.9,30.0,0.0,4.0,0.47,0.2112501076777061,113400.0,0.00045,6.274120169544664e-05,0.5887927453517876
0.9,34.0,0.0,4.0,0.47,0.1998006095259815,113400.0,0.00045,6.05806689110526e-05,0.5638963643360574
0.9,38.0,0.0,4.0,0.47,0.1876944195354958,113400.0,0.0004399999999999,5.815161009830802e-05,0.5371989184605728
0.9,42.0,0.0,4.0,0.47,0.1759123840239013,113300.0,0.0004399999999999,5.578394379654808e-05,0.5099704218415492
0.9,46.0,0.0,4.0,0.47,0.1628664244286465,113400.0,0.00045,5.303871332618115e-05,0.4800382380846077
0.9,50.0,0.0,4.0,0.47,0.0802572740273395,113600.0,0.00045,3.3466314226307525e-05,0.2445639620233588
0.9,54.0,0.0,4.0,0.47,0.018575958593903,111900.0,0.0001599999999999,1.2842053560901262e-05,0.0572656852933658
0.9,58.0,0.0,4.0,0.47,0.0117151543919716,111600.0,0.0001199999999999,9.58928318979188e-06,0.0361037174040079
0.9,62.0,0.0,4.0,0.47,0.0088960160836806,111500.0,8.999999999999999e-05,9.529181104001028e-06,0.0273438785083134
0.9,66.0,0.0,4.0,0.47,0.0076350303181979,111300.0,7.999999999999999e-05,9.416328277195296e-06,0.0220901519018363
0.9,70.0,0.0,4.0,0.47,0.0071442888501849,111300.0,7e-05,9.293782345914242e-06,0.0179754269923154
0.9,74.0,0.0,4.0,0.47,0.0,113300.0,0.00033,6.078191040632952e-05,0.63623833460723
